stationid,time,avlBikes
008,2017-06-01 00:01:01,0
008,2017-06-01 00:01:01,0
008,2017-06-01 00:01:01,0
008,2017-06-01 00:01:01,0
008,2017-06-01 00:02:01,0
008,2017-06-01 00:02:01,0
008,2017-06-01 00:02:01,0
008,2017-06-01 00:02:01,0
008,2017-06-01 08:00:01,9
008,2017-06-01 08:00:01,9
008,2017-06-01 08:01:01,9
008,2017-06-01 08:01:01,9
008,2017-06-01 08:02:01,9
008,2017-06-01 08:02:01,9
008,2017-06-01 08:03:01,9
008,2017-06-01 08:03:01,9
008,2017-06-01 08:04:01,8
008,2017-06-01 08:04:01,8
008,2017-06-01 08:05:01,9
008,2017-06-01 08:05:01,9
008,2017-06-01 08:06:01,9
008,2017-06-01 08:06:01,9
008,2017-06-01 08:07:01,9
008,2017-06-01 08:07:01,9
008,2017-06-01 08:08:01,9
008,2017-06-01 08:08:01,9
008,2017-06-01 08:09:01,10
008,2017-06-01 08:09:01,10
008,2017-06-01 08:10:01,10
008,2017-06-01 08:10:01,10
008,2017-06-01 08:11:01,10
008,2017-06-01 08:11:01,10
008,2017-06-01 08:12:01,10
008,2017-06-01 08:12:01,10
008,2017-06-01 08:13:01,10
008,2017-06-01 08:13:01,10
008,2017-06-01 08:14:01,10
008,2017-06-01 08:14:01,10
008,2017-06-01 08:15:01,10
008,2017-06-01 08:15:01,10
008,2017-06-01 08:16:01,10
008,2017-06-01 08:16:01,10
008,2017-06-01 08:17:01,10
008,2017-06-01 08:17:01,10
008,2017-06-01 08:18:01,11
008,2017-06-01 08:18:01,11
008,2017-06-01 08:19:01,11
008,2017-06-01 08:19:01,11
008,2017-06-01 08:20:01,11
008,2017-06-01 08:20:01,11
008,2017-06-01 08:21:01,11
008,2017-06-01 08:21:01,11
008,2017-06-01 08:22:01,11
008,2017-06-01 08:22:01,11
008,2017-06-01 08:23:01,11
008,2017-06-01 08:23:01,11
008,2017-06-01 08:24:01,11
008,2017-06-01 08:24:01,11
008,2017-06-01 08:25:01,11
008,2017-06-01 08:25:01,11
008,2017-06-01 08:26:01,12
008,2017-06-01 08:26:01,12
008,2017-06-01 08:27:01,12
008,2017-06-01 08:27:01,12
008,2017-06-01 08:28:01,12
008,2017-06-01 08:28:01,12
008,2017-06-01 08:29:01,10
008,2017-06-01 08:29:01,10
008,2017-06-01 08:30:01,10
008,2017-06-01 08:30:01,10
008,2017-06-01 08:31:01,10
008,2017-06-01 08:31:01,10
008,2017-06-01 08:32:01,8
008,2017-06-01 08:32:01,8
008,2017-06-01 08:33:01,8
008,2017-06-01 08:33:01,8
008,2017-06-01 08:34:01,8
008,2017-06-01 08:34:01,8
008,2017-06-01 08:35:01,8
008,2017-06-01 08:35:01,8
008,2017-06-01 08:36:01,8
008,2017-06-01 08:36:01,8
008,2017-06-01 08:37:01,8
008,2017-06-01 08:37:01,8
008,2017-06-01 08:38:01,9
008,2017-06-01 08:38:01,9
008,2017-06-01 08:39:01,10
008,2017-06-01 08:39:01,10
008,2017-06-01 08:40:01,10
008,2017-06-01 08:40:01,10
008,2017-06-01 08:41:01,10
008,2017-06-01 08:41:01,10
008,2017-06-01 08:42:01,10
008,2017-06-01 08:42:01,10
008,2017-06-01 08:43:02,11
008,2017-06-01 08:43:02,11
008,2017-06-01 08:44:01,11
008,2017-06-01 08:44:01,11
008,2017-06-01 08:45:01,11
008,2017-06-01 08:45:01,11
008,2017-06-01 08:46:01,11
008,2017-06-01 08:46:01,11
008,2017-06-01 08:47:01,11
008,2017-06-01 08:47:01,11
008,2017-06-01 08:48:01,10
008,2017-06-01 08:48:01,10
008,2017-06-01 08:49:01,10
008,2017-06-01 08:49:01,10
008,2017-06-01 08:50:01,10
008,2017-06-01 08:50:01,10
008,2017-06-01 08:51:01,10
008,2017-06-01 08:51:01,10
008,2017-06-01 08:52:01,10
008,2017-06-01 08:52:01,10
008,2017-06-01 08:53:01,10
008,2017-06-01 08:53:01,10
008,2017-06-01 08:54:01,10
008,2017-06-01 08:54:01,10
008,2017-06-01 08:55:01,10
008,2017-06-01 08:55:01,10
008,2017-06-01 08:56:01,10
008,2017-06-01 08:56:01,10
008,2017-06-01 08:57:01,10
008,2017-06-01 08:57:01,10
008,2017-06-01 08:58:01,10
008,2017-06-01 08:58:01,10
008,2017-06-01 08:59:01,11
008,2017-06-01 08:59:01,11
