"station","hour_of_day","avg_availability","avg_delta"
1,0,19.09,-0.44
1,1,18.64,-0.47
1,2,18.48,-0.17
1,3,18.49,0.01
1,4,18.25,-0.06
1,5,17.95,-0.47
1,6,16.23,-1.72
1,7,13.97,-2.30
1,8,12.71,-1.26
1,9,12.73,0.02
1,10,13.26,0.53
1,11,13.77,0.52
1,12,15.01,1.24
1,13,17.21,2.20
1,14,17.95,0.73
1,15,19.60,1.66
1,16,21.58,1.98
1,17,23.52,1.93
1,18,25.20,1.65
1,19,24.88,-0.32
1,20,21.86,-3.00
1,21,20.63,-1.23
1,22,19.75,-0.88
1,23,18.99,-0.76
2,0,7.80,-0.24
2,1,7.02,-0.76
2,2,6.03,-1.27
2,3,5.79,-0.23
2,4,5.65,-0.15
2,5,5.78,0.14
2,6,5.88,0.10
2,7,5.26,-0.68
2,8,5.42,0.16
2,9,5.32,-0.09
2,10,4.93,-0.39
2,11,4.37,-0.56
2,12,3.91,-0.46
2,13,3.86,-0.05
2,14,3.58,-0.28
2,15,3.29,-0.30
2,16,3.99,0.70
2,17,6.05,2.07
2,18,6.53,0.45
2,19,6.60,0.07
2,20,7.36,0.85
2,21,7.09,-0.28
2,22,6.79,-0.29
2,23,6.74,-0.06
3,0,18.73,0.47
3,1,19.34,0.72
3,2,19.87,0.74
3,3,19.90,0.03
3,4,19.58,-0.22
3,5,19.02,-0.67
3,6,16.15,-2.86
3,7,7.14,-9.16
3,8,4.74,-2.41
3,9,4.46,-0.28
3,10,4.40,-0.06
3,11,4.00,-0.40
3,12,3.97,-0.04
3,13,3.92,-0.04
3,14,4.67,0.75
3,15,6.51,1.83
3,16,10.21,3.70
3,17,12.57,2.36
3,18,12.92,0.56
3,19,13.92,1.00
3,20,15.67,1.95
3,21,17.66,1.98
3,22,19.18,1.53
3,23,20.08,0.90
4,0,8.06,0.41
4,1,8.28,0.26
4,2,8.58,0.10
4,3,8.70,0.13
4,4,8.36,-0.34
4,5,7.86,-0.51
4,6,6.15,-1.71
4,7,3.59,-2.63
4,8,2.44,-1.16
4,9,2.66,0.22
4,10,2.50,-0.15
4,11,3.01,0.51
4,12,2.95,-0.06
4,13,3.55,0.60
4,14,3.99,0.44
4,15,5.16,1.17
4,16,5.75,0.59
4,17,5.78,0.03
4,18,4.26,-1.60
4,19,4.44,0.18
4,20,6.65,2.17
4,21,8.13,1.48
4,22,8.74,0.61
4,23,8.37,-0.38
5,0,21.39,0.89
5,1,21.96,0.50
5,2,22.82,1.54
5,3,23.17,0.35
5,4,22.68,-0.45
5,5,20.98,-1.75
5,6,15.86,-5.12
5,7,12.68,-3.23
5,8,13.89,1.22
5,9,14.77,0.88
5,10,12.78,-2.00
5,11,10.30,-2.47
5,12,9.68,-0.62
5,13,9.30,-0.38
5,14,9.47,0.17
5,15,7.54,-1.93
5,16,6.66,-0.89
5,17,7.78,1.13
5,18,9.00,1.11
5,19,11.34,2.34
5,20,14.21,2.86
5,21,17.20,2.99
5,22,19.21,2.00
5,23,20.65,1.45
6,0,11.09,-0.14
6,1,11.28,0.07
6,2,11.26,0.12
6,3,10.89,-0.37
6,4,10.03,-0.60
6,5,10.20,-0.10
6,6,9.81,-0.39
6,7,10.05,0.33
6,8,12.78,2.73
6,9,12.74,-0.04
6,10,12.39,-0.35
6,11,13.92,1.53
6,12,13.69,-0.23
6,13,14.10,0.42
6,14,12.61,-1.50
6,15,8.45,-4.15
6,16,7.74,-0.71
6,17,8.18,0.44
6,18,9.70,1.36
6,19,10.57,0.87
6,20,11.55,0.77
6,21,11.45,-0.09
6,22,11.15,-0.30
6,23,10.44,-0.71
7,0,3.74,0.01
7,1,3.66,-0.14
7,2,3.52,-0.06
7,3,3.17,-0.35
7,4,2.88,-0.29
7,5,2.60,-0.29
7,6,2.62,0.03
7,7,2.59,0.00
7,8,2.53,-0.06
7,9,2.50,-0.03
7,10,3.10,0.59
7,11,3.49,0.39
7,12,3.91,0.42
7,13,3.86,-0.05
7,14,3.61,-0.25
7,15,3.62,0.00
7,16,3.69,0.07
7,17,4.01,0.33
7,18,4.26,0.19
7,19,4.03,-0.23
7,20,4.02,-0.09
7,21,4.11,0.09
7,22,4.01,-0.10
7,23,4.44,0.43
8,0,3.09,0.34
8,1,3.14,-0.01
8,2,2.18,-0.86
8,3,1.72,-0.46
8,4,1.70,-0.06
8,5,1.97,0.30
8,6,3.13,1.16
8,7,8.07,5.00
8,8,15.13,7.06
8,9,16.35,1.22
8,10,15.73,-0.62
8,11,15.52,-0.21
8,12,15.47,-0.05
8,13,15.27,-0.20
8,14,13.30,-1.97
8,15,9.28,-4.02
8,16,5.75,-3.53
8,17,4.29,-1.47
8,18,3.33,-1.03
8,19,2.88,-0.45
8,20,2.99,0.09
8,21,2.48,-0.51
8,22,1.88,-0.60
8,23,1.58,-0.30
9,0,4.74,0.02
9,1,4.18,-0.64
9,2,2.74,-1.30
9,3,1.96,-0.78
9,4,2.27,0.27
9,5,3.45,1.22
9,6,6.14,2.69
9,7,14.91,8.87
9,8,28.64,13.74
9,9,31.97,3.32
9,10,32.07,0.10
9,11,32.83,0.76
9,12,32.72,-0.11
9,13,32.91,0.19
9,14,30.11,-2.80
9,15,23.05,-7.06
9,16,14.31,-8.74
9,17,8.56,-5.75
9,18,6.90,-1.81
9,19,4.67,-2.22
9,20,3.56,-1.08
9,21,2.89,-0.68
9,22,2.05,-0.84
9,23,1.76,-0.28
10,0,4.55,0.09
10,1,4.36,-0.16
10,2,3.97,-0.23
10,3,3.71,-0.27
10,4,3.42,-0.18
10,5,3.56,0.04
10,6,6.65,3.09
10,7,13.32,6.68
10,8,20.00,6.68
10,9,22.18,2.18
10,10,22.26,0.08
10,11,21.92,-0.33
10,12,21.04,-0.89
10,13,19.45,-1.59
10,14,16.00,-3.45
10,15,11.02,-4.98
10,16,7.21,-3.81
10,17,5.78,-1.43
10,18,5.10,-0.75
10,19,4.48,-0.63
10,20,4.00,-0.51
10,21,3.81,-0.19
10,22,3.79,-0.02
10,23,3.73,-0.06
11,0,7.20,-0.56
11,1,7.04,-0.31
11,2,6.22,-0.59
11,3,5.73,-0.49
11,4,5.86,0.04
11,5,5.82,0.06
11,6,8.02,2.20
11,7,18.33,10.46
11,8,31.86,13.53
11,9,36.28,4.42
11,10,35.79,-0.48
11,11,35.33,-0.46
11,12,35.28,-0.06
11,13,36.39,1.11
11,14,32.21,-4.18
11,15,23.03,-9.18
11,16,15.45,-7.58
11,17,12.66,-2.80
11,18,10.92,-1.98
11,19,8.25,-2.67
11,20,6.42,-1.94
11,21,5.48,-0.94
11,22,4.54,-0.94
11,23,3.99,-0.55
12,0,7.28,-0.46
12,1,7.14,-0.09
12,2,6.92,-0.01
12,3,6.59,-0.32
12,4,6.31,-0.16
12,5,6.70,0.26
12,6,7.38,0.68
12,7,10.15,2.71
12,8,13.27,3.12
12,9,14.29,1.03
12,10,14.69,0.40
12,11,14.93,0.24
12,12,15.91,0.97
12,13,16.26,0.35
12,14,16.10,-0.16
12,15,14.98,-1.12
12,16,14.50,-0.49
12,17,14.78,0.29
12,18,15.28,0.23
12,19,13.29,-1.99
12,20,10.27,-3.03
12,21,8.60,-1.67
12,22,6.85,-1.74
12,23,6.36,-0.50
13,0,15.65,0.47
13,1,16.08,0.50
13,2,16.52,0.76
13,3,16.76,0.24
13,4,16.74,0.08
13,5,15.88,-0.96
13,6,13.84,-2.05
13,7,12.74,-1.19
13,8,12.61,-0.13
13,9,11.85,-0.76
13,10,10.79,-1.06
13,11,9.91,-0.88
13,12,9.12,-0.79
13,13,8.90,-0.23
13,14,9.60,0.71
13,15,9.65,0.05
13,16,9.97,0.32
13,17,10.87,0.90
13,18,11.56,0.95
13,19,11.97,0.41
13,20,13.27,1.36
13,21,14.47,1.19
13,22,15.23,0.77
13,23,15.62,0.38
14,0,4.22,-0.17
14,1,3.92,-0.36
14,2,3.08,-1.27
14,3,2.64,-0.44
14,4,2.69,0.02
14,5,2.76,0.11
14,6,3.88,1.12
14,7,9.08,5.26
14,8,15.94,6.86
14,9,20.43,4.49
14,10,22.04,1.60
14,11,23.93,1.89
14,12,25.19,1.26
14,13,25.58,0.39
14,14,24.43,-1.15
14,15,20.44,-3.98
14,16,15.48,-4.96
14,17,12.46,-3.03
14,18,10.53,-2.15
14,19,8.82,-1.71
14,20,7.02,-1.87
14,21,5.77,-1.25
14,22,3.93,-1.84
14,23,3.11,-0.83
15,0,7.55,0.13
15,1,7.46,0.05
15,2,7.35,0.08
15,3,7.20,-0.15
15,4,7.22,-0.05
15,5,7.06,-0.10
15,6,6.70,-0.36
15,7,7.67,0.83
15,8,7.90,0.23
15,9,7.43,-0.47
15,10,6.61,-0.81
15,11,6.13,-0.48
15,12,6.23,0.10
15,13,6.40,0.18
15,14,6.18,-0.23
15,15,4.63,-1.55
15,16,4.48,-0.15
15,17,4.42,-0.06
15,18,4.91,0.42
15,19,5.30,0.39
15,20,6.00,0.73
15,21,7.17,1.18
15,22,7.73,0.55
15,23,7.90,0.17
16,0,16.83,0.28
16,1,16.91,0.09
16,2,17.55,0.88
16,3,17.57,0.02
16,4,17.10,-0.24
16,5,16.33,-1.01
16,6,13.26,-3.06
16,7,7.68,-5.65
16,8,6.42,-1.26
16,9,6.77,0.35
16,10,6.18,-0.59
16,11,6.09,-0.09
16,12,6.53,0.44
16,13,7.13,0.60
16,14,8.81,1.68
16,15,10.78,1.97
16,16,13.37,2.59
16,17,14.72,1.36
16,18,15.14,0.55
16,19,15.19,0.05
16,20,15.27,0.14
16,21,16.20,0.93
16,22,17.69,1.49
16,23,18.60,0.91
17,0,1.78,-0.35
17,1,1.61,-0.14
17,2,1.50,-0.58
17,3,1.38,-0.12
17,4,1.29,-0.06
17,5,1.27,-0.06
17,6,1.64,0.37
17,7,4.98,3.31
17,8,9.70,4.73
17,9,13.28,3.58
17,10,14.84,1.55
17,11,15.23,0.40
17,12,15.57,0.34
17,13,16.02,0.45
17,14,13.68,-2.34
17,15,9.54,-4.14
17,16,5.88,-3.65
17,17,4.46,-1.43
17,18,3.91,-0.58
17,19,5.00,1.10
17,20,5.05,-0.01
17,21,4.51,-0.54
17,22,3.67,-0.84
17,23,3.06,-0.62
18,0,1.84,-0.36
18,1,1.51,-0.34
18,2,1.31,-0.20
18,3,1.25,-0.06
18,4,1.54,0.27
18,5,2.06,0.55
18,6,3.72,1.66
18,7,7.33,3.67
18,8,13.27,5.93
18,9,17.76,4.50
18,10,19.70,1.93
18,11,22.23,2.53
18,12,24.29,2.07
18,13,24.13,-0.16
18,14,22.13,-2.00
18,15,19.70,-2.44
18,16,14.49,-5.21
18,17,8.91,-5.58
18,18,6.38,-2.70
18,19,5.25,-1.12
18,20,4.16,-1.17
18,21,3.26,-0.90
18,22,2.55,-0.71
18,23,2.06,-0.50
19,0,2.08,-1.11
19,1,1.33,-0.76
19,2,0.83,-0.48
19,3,0.76,-0.07
19,4,1.75,0.98
19,5,2.39,0.67
19,6,3.33,0.94
19,7,3.63,0.33
19,8,6.34,2.72
19,9,9.48,3.13
19,10,11.57,2.10
19,11,13.88,2.31
19,12,15.59,1.71
19,13,16.10,0.52
19,14,17.74,1.64
19,15,17.86,0.11
19,16,16.33,-1.53
19,17,11.68,-4.65
19,18,8.36,-3.53
19,19,5.34,-3.02
19,20,4.09,-1.12
19,21,3.03,-1.06
19,22,2.63,-0.40
19,23,2.37,-0.26
20,0,5.99,-0.74
20,1,4.51,-1.01
20,2,3.65,-1.17
20,3,3.26,-0.39
20,4,3.94,0.62
20,5,4.14,0.28
20,6,3.58,-0.56
20,7,1.90,-2.16
20,8,2.58,0.68
20,9,3.29,0.71
20,10,4.85,1.56
20,11,6.47,1.62
20,12,7.47,1.00
20,13,9.23,1.76
20,14,13.34,4.11
20,15,20.97,7.63
20,16,22.58,1.61
20,17,19.67,-2.91
20,18,16.56,-2.95
20,19,13.09,-3.47
20,20,9.91,-2.68
20,21,8.10,-1.81
20,22,6.95,-1.14
20,23,6.16,-0.79
21,0,4.27,-0.72
21,1,3.92,-0.44
21,2,3.28,-1.46
21,3,3.08,-0.20
21,4,4.58,1.44
21,5,4.90,0.42
21,6,4.34,-0.56
21,7,6.29,2.03
21,8,6.14,-0.58
21,9,5.77,-0.37
21,10,8.10,2.33
21,11,10.70,2.60
21,12,13.58,2.88
21,13,16.05,2.47
21,14,23.03,6.98
21,15,29.81,6.78
21,16,24.15,-5.65
21,17,20.30,-3.85
21,18,15.02,-5.62
21,19,11.34,-3.68
21,20,9.36,-2.13
21,21,6.56,-2.80
21,22,4.58,-1.98
21,23,3.59,-0.99
22,0,1.57,-0.80
22,1,1.22,-0.34
22,2,0.90,-0.36
22,3,0.81,-0.10
22,4,1.88,1.06
22,5,2.95,1.10
22,6,2.92,-0.02
22,7,2.52,-0.38
22,8,3.81,1.29
22,9,6.18,2.37
22,10,9.08,2.90
22,11,11.74,2.66
22,12,13.52,1.78
22,13,15.05,1.53
22,14,15.27,0.21
22,15,16.03,0.77
22,16,14.31,-1.73
22,17,10.32,-3.99
22,18,7.03,-3.44
22,19,4.78,-2.25
22,20,3.23,-1.32
22,21,2.35,-0.88
22,22,1.74,-0.61
22,23,1.34,-0.40
23,0,1.32,-0.19
23,1,0.98,-0.37
23,2,0.61,-0.39
23,3,0.45,-0.16
23,4,0.65,0.20
23,5,1.10,0.46
23,6,1.65,0.54
23,7,4.37,2.76
23,8,6.95,2.58
23,9,8.33,1.38
23,10,10.43,2.09
23,11,13.01,2.58
23,12,14.73,1.73
23,13,15.24,0.51
23,14,15.37,0.13
23,15,15.62,0.25
23,16,11.85,-3.76
23,17,7.59,-4.26
23,18,4.39,-3.30
23,19,3.00,-1.39
23,20,2.01,-1.01
23,21,1.31,-0.70
23,22,1.04,-0.27
23,23,0.91,-0.13
24,0,1.52,-0.40
24,1,0.87,-0.68
24,2,0.53,-0.37
24,3,0.41,-0.13
24,4,0.48,0.06
24,5,1.08,0.61
24,6,2.30,1.22
24,7,6.29,4.03
24,8,10.74,4.46
24,9,13.10,2.35
24,10,14.28,1.19
24,11,15.68,1.39
24,12,15.44,-0.23
24,13,15.37,-0.07
24,14,14.86,-0.51
24,15,12.51,-2.35
24,16,9.09,-3.42
24,17,5.56,-3.53
24,18,3.81,-1.84
24,19,2.78,-1.03
24,20,1.73,-1.02
24,21,1.27,-0.46
24,22,0.95,-0.32
24,23,0.52,-0.43
25,0,1.70,-0.32
25,1,1.38,-0.34
25,2,1.39,-0.01
25,3,1.31,-0.08
25,4,1.52,0.18
25,5,1.93,0.44
25,6,2.73,0.80
25,7,4.11,1.41
25,8,5.67,1.56
25,9,6.72,1.05
25,10,8.78,2.06
25,11,9.92,1.14
25,12,9.74,-0.18
25,13,9.02,-0.72
25,14,9.39,0.37
25,15,10.26,0.87
25,16,8.55,-1.71
25,17,6.28,-2.28
25,18,4.13,-2.25
25,19,2.87,-1.27
25,20,2.16,-0.73
25,21,1.88,-0.28
25,22,1.75,-0.13
25,23,1.53,-0.22
26,0,1.38,0.03
26,1,1.46,0.10
26,2,1.22,-0.21
26,3,1.20,-0.02
26,4,1.25,0.07
26,5,1.94,0.67
26,6,3.07,1.13
26,7,4.69,1.64
26,8,4.34,-0.35
